system:index,DEM,VH,VV,VV_VH_diff,azimuth,distance_m,hillshade,slope,.geo
238,350.0,-21.501873016357422,-16.02215003967285,5.4797234535217285,180,1020,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.180815348267185]}"
239,349.0,-20.691097259521484,-15.087796211242676,5.603300094604492,180,1050,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.181086743237334]}"
240,349.0,-21.642417907714844,-14.341142654418945,7.30127477645874,180,1080,152,9.034105706840922,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.18135813820748]}"
241,347.0,-22.0510311126709,-16.5140380859375,5.536994457244873,180,1110,171,3.033742812262031,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.18162953317762]}"
242,347.0,-20.799617767333984,-15.518144607543945,5.281473636627197,180,1140,180,0.0,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.181900928147773]}"
243,348.0,-21.011362075805664,-15.202618598937988,5.808743000030518,180,1170,171,4.2863729492777844,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.18217232311792]}"
244,347.0,-21.9519100189209,-15.623239517211914,6.328670024871826,180,1200,180,3.033756851668335,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.182443718088066]}"
245,347.0,-23.30451202392578,-15.908492088317871,7.396020412445068,180,1230,190,3.0337615314483544,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.18271511305821]}"
246,346.0,-23.291061401367188,-16.97560691833496,6.315454483032227,180,1260,190,3.0337677714151794,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.182986508028357]}"
247,343.0,-21.781023025512695,-15.548501014709473,6.232522964477539,180,1290,208,12.672481525071927,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.183257902998506]}"
248,343.0,-21.578598022460938,-15.820326805114746,5.758270740509033,180,1320,199,6.050637790155168,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.18352929796865]}"
249,344.0,-20.315488815307617,-15.4122953414917,4.903192520141602,180,1350,190,4.286414749382741,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.1838006929388]}"
250,345.0,-21.806224822998047,-16.34952735900879,5.456698417663574,180,1380,171,4.286421349929498,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.184072087908945]}"
251,344.0,-21.694961547851562,-14.881174087524414,6.81378698348999,180,1410,180,3.0337927326383616,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.184343482879086]}"
252,345.0,-21.025997161865234,-15.017708778381348,6.00828742980957,180,1440,171,4.286436751189776,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.184614877849235]}"
253,345.0,-20.837862014770508,-15.236311912536621,5.601550579071045,180,1470,171,3.033802093360301,"{""type"":""Point"",""coordinates"":[127.79512054362412,-19.184886272819384]}"
